,Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
87,c-9,c-16,c-5,902,UA,SNA,ORD,1726,N
88,c-6,c-26,c-7,1440,WN,MAF,DAL,319,N
89,c-10,c-6,c-4,1340,MQ,CRP,DFW,354,N
90,c-2,c-4,c-5,1050,WN,LAS,OAK,407,N
91,c-6,c-1,c-4,1942,DL,ATL,IAD,533,Y
92,c-10,c-29,c-7,912,NW,MSP,LAX,1536,N
93,c-9,c-11,c-1,2010,UA,LAX,LAS,236,N
94,c-7,c-13,c-3,1335,CO,LAS,IAH,1222,Y
95,c-4,c-11,c-2,1851,OO,DEN,MEM,872,N
96,c-7,c-19,c-3,2105,TZ,MDW,DFW,797,N
97,c-8,c-26,c-6,1634,AA,MFE,DFW,468,N
98,c-8,c-22,c-2,553,YV,BMI,ORD,116,N
99,c-6,c-24,c-6,626,MQ,SAN,SJC,417,N
100,c-4,c-27,c-4,2051,OO,ORD,FWA,157,N
101,c-6,c-1,c-4,650,NW,LAS,MSP,1300,N
102,c-4,c-26,c-3,1210,OO,IPL,YUM,58,N
103,c-8,c-30,c-2,1243,MQ,ORD,MKE,67,N
104,c-8,c-5,c-5,1929,UA,LAX,SFO,337,N
105,c-11,c-13,c-1,1528,OO,SLC,SJC,585,N
106,c-2,c-27,c-7,1827,OO,DEN,ELP,563,N
107,c-4,c-18,c-1,1117,DL,AUS,ATL,813,N
108,c-4,c-28,c-4,2037,AS,SEA,LAX,954,N
109,c-6,c-6,c-2,1736,OO,FAR,ORD,557,N
110,c-12,c-3,c-6,1625,XE,IAH,RDU,1043,N
111,c-7,c-19,c-2,1708,MQ,DFW,LBB,282,N
112,c-6,c-11,c-7,1829,OO,MTJ,DEN,197,N
113,c-6,c-29,c-4,2052,XE,DCA,EWR,199,N
114,c-6,c-16,c-4,1259,DL,SLC,CVG,1449,N
115,c-5,c-22,c-1,834,DL,ATL,PBI,545,N
116,c-5,c-25,c-4,905,YV,DRO,DEN,251,N
117,c-11,c-3,c-4,1210,WN,TPA,PVD,1137,N
118,c-8,c-4,c-4,1204,NW,ONT,MSP,1494,N
119,c-4,c-27,c-4,1825,WN,PHX,SAN,304,N
120,c-7,c-4,c-2,2042,US,LAS,PDX,762,N
121,c-5,c-24,c-2,1058,AA,MIA,LGA,1097,Y
122,c-12,c-23,c-5,724,CO,SEA,IAH,1874,N
123,c-5,c-17,c-3,1252,UA,SAN,IAD,2253,N
124,c-9,c-26,c-1,2050,NW,MDW,MSP,349,Y
125,c-10,c-14,c-6,850,AA,TUL,DFW,237,Y
126,c-3,c-14,c-1,1140,OH,CVG,ACY,542,N
127,c-7,c-7,c-4,1124,OO,IDA,SLC,188,N
128,c-3,c-4,c-6,1127,NW,MCO,DTW,957,N
129,c-3,c-27,c-7,1125,WN,ONT,SMF,389,N
130,c-3,c-17,c-5,1815,NW,PHX,MSP,1276,Y
131,c-2,c-27,c-1,1915,B6,FLL,JFK,1069,N
132,c-4,c-27,c-4,750,OO,LAX,ABQ,677,N
133,c-12,c-23,c-5,1727,OO,ACV,SFO,250,Y
134,c-10,c-1,c-7,1337,B6,JFK,PBI,1028,Y
135,c-7,c-27,c-4,1323,WN,PHL,MCO,861,Y
136,c-11,c-26,c-6,1024,NW,DTW,LAN,74,N
137,c-3,c-11,c-5,1747,UA,MSY,ORD,837,N
138,c-5,c-4,c-4,1820,UA,DEN,MSP,680,N
139,c-7,c-13,c-3,1229,EV,ATL,MSP,906,N
140,c-2,c-20,c-1,1534,HA,OGG,KOA,84,N
141,c-11,c-16,c-3,1407,AA,LGA,BNA,764,N
142,c-7,c-18,c-2,1856,UA,DEN,RNO,804,Y
143,c-4,c-13,c-4,926,MQ,LGA,RDU,431,N
144,c-6,c-17,c-5,1425,OH,DSM,CVG,505,N
145,c-4,c-17,c-7,2029,XE,CLE,BNA,448,N
146,c-3,c-10,c-5,802,OO,SLC,IDA,188,N
147,c-6,c-2,c-5,1804,EV,ATL,EVV,350,Y
148,c-5,c-15,c-7,726,CO,EWR,MCO,938,N
149,c-6,c-2,c-4,1653,US,MCI,CLT,809,N
150,c-6,c-3,c-5,2017,DL,MOB,ATL,302,Y
151,c-2,c-2,c-4,710,WN,BWI,MCO,787,N
152,c-6,c-24,c-5,1002,FL,CAK,ATL,528,N
153,c-3,c-6,c-7,1712,NW,MSP,LAS,1300,N
154,c-5,c-21,c-6,1604,MQ,SAN,SJC,417,N
155,c-8,c-6,c-7,1917,US,DCA,TPA,814,N
156,c-2,c-21,c-1,1259,DL,SNA,SLC,588,N
157,c-5,c-6,c-6,1901,US,RSW,CLT,600,N
158,c-4,c-6,c-3,621,NW,DCA,DTW,405,N
159,c-1,c-17,c-1,645,EV,FAY,ATL,331,N
160,c-9,c-18,c-7,1641,EV,DSM,ATL,743,N
161,c-2,c-10,c-5,1453,OO,DEN,ELP,563,N
162,c-6,c-29,c-4,1606,XE,SHV,IAH,192,Y
163,c-2,c-1,c-3,1123,WN,TUS,SAN,367,N
164,c-12,c-31,c-7,1503,WN,DEN,LAS,629,N
165,c-5,c-31,c-2,959,UA,STL,ORD,258,N
166,c-12,c-15,c-4,1456,MQ,LAX,SAN,109,N
167,c-8,c-10,c-3,2255,EV,ATL,LEX,303,N
168,c-3,c-31,c-5,1311,XE,PHL,CLE,363,N
169,c-12,c-3,c-7,1220,OH,JFK,BUF,301,N
170,c-3,c-12,c-6,2022,OO,TUS,LAX,451,N
171,c-9,c-5,c-1,2233,OO,SFO,SBP,191,N
172,c-9,c-23,c-6,1906,WN,PVD,TPA,1137,N
173,c-11,c-27,c-7,831,OO,ORD,SGF,438,N
174,c-10,c-29,c-7,1715,NW,ROC,DTW,296,N
175,c-7,c-10,c-7,652,XE,CRP,IAH,201,N
176,c-8,c-22,c-1,638,OO,MFR,SLC,575,N
177,c-8,c-21,c-7,733,DL,IAD,ATL,533,N
178,c-6,c-29,c-4,2055,AA,DFW,BNA,631,N
179,c-8,c-15,c-2,1700,EV,VLD,ATL,208,Y
180,c-2,c-5,c-7,2040,US,PHL,SFO,2521,Y
181,c-10,c-21,c-6,1313,EV,MDW,ATL,590,N
182,c-12,c-5,c-1,1229,UA,DEN,LGA,1619,N
183,c-3,c-21,c-2,2125,WN,DAL,TUL,237,N
184,c-6,c-16,c-4,1120,WN,OAK,SNA,371,Y
185,c-9,c-21,c-4,1140,WN,SAT,DAL,248,N
186,c-12,c-11,c-1,2352,UA,ORD,SFO,1846,Y
187,c-4,c-27,c-3,920,OH,RIC,CVG,413,N
188,c-5,c-21,c-7,949,NW,DTW,PVD,614,N
189,c-1,c-19,c-4,2053,MQ,BOS,JFK,187,N
190,c-8,c-10,c-4,2115,MQ,DFW,AMA,313,Y
191,c-8,c-20,c-7,616,MQ,MKE,ORD,67,N
192,c-9,c-19,c-2,1228,US,TPA,PIT,873,N
193,c-10,c-6,c-5,754,AS,SEA,ANC,1449,N
194,c-12,c-19,c-2,1647,OO,TYS,ORD,475,N
195,c-2,c-10,c-5,1557,CO,BWI,IAH,1235,N
196,c-8,c-28,c-7,1142,US,PHL,RDU,336,N
197,c-12,c-27,c-3,1110,OH,CVG,ROA,282,N
198,c-1,c-19,c-4,1743,DL,ATL,LEX,303,N
199,c-9,c-30,c-5,1905,WN,MAF,AUS,294,N
200,c-8,c-14,c-1,1603,AS,LAX,SEA,954,N
201,c-7,c-4,c-2,1714,WN,LAS,ELP,584,N
202,c-6,c-2,c-4,654,DL,STL,ATL,483,N
203,c-7,c-31,c-1,45,DL,LAX,ATL,1946,Y
204,c-10,c-12,c-3,1724,UA,DEN,SMF,910,Y
205,c-11,c-17,c-4,1900,EV,CVG,TOL,181,Y
206,c-2,c-22,c-3,600,WN,PDX,OAK,543,N
207,c-5,c-3,c-3,1150,OH,CHO,CVG,342,N
208,c-4,c-3,c-7,1644,UA,SFO,OGG,2338,N
209,c-5,c-24,c-3,1208,UA,SJC,DEN,948,Y
210,c-11,c-7,c-2,1418,DL,ATL,SAT,874,N
211,c-11,c-25,c-5,2022,AS,ANC,SEA,1449,N
212,c-4,c-4,c-2,1450,WN,CLE,LAS,1825,N
213,c-3,c-14,c-1,810,UA,EGE,DEN,121,N
214,c-5,c-28,c-7,1514,XE,EWR,MCI,1092,N
215,c-12,c-29,c-4,1941,AA,RSW,ORD,1120,N
216,c-9,c-7,c-3,1608,AA,MCO,BOS,1121,N
217,c-8,c-27,c-6,2023,HP,SFO,LAS,414,N
218,c-9,c-11,c-1,558,AS,ANC,SEA,1449,N
219,c-2,c-20,c-1,1652,XE,CLE,DFW,1021,N
220,c-4,c-20,c-3,2111,US,CLT,DCA,331,N
221,c-9,c-1,c-4,1827,OO,SLC,FCA,532,N
222,c-1,c-17,c-1,1714,DL,RDU,ATL,356,N
223,c-10,c-5,c-3,659,AA,IAH,DFW,224,N
224,c-2,c-24,c-5,943,OO,BOI,SLC,291,N
225,c-8,c-16,c-3,558,AS,SEA,SJC,697,N
226,c-10,c-22,c-7,2326,B6,JFK,CMH,483,Y
227,c-8,c-23,c-3,1015,MQ,GSP,DFW,862,N
228,c-9,c-16,c-6,1741,MQ,TYS,ORD,475,N
229,c-5,c-20,c-5,1156,NW,GRR,DTW,120,N
230,c-8,c-28,c-1,1640,AA,MFE,DFW,468,N
231,c-1,c-16,c-7,1953,US,PHL,PIT,267,N
232,c-7,c-14,c-4,643,HP,LAX,PHX,370,N
233,c-9,c-18,c-1,1738,AA,BOS,DFW,1562,N
234,c-9,c-8,c-5,1916,XE,IAH,GRR,1042,N
235,c-12,c-28,c-3,1907,DL,SLC,SEA,689,N
236,c-3,c-20,c-7,1239,UA,LAS,ORD,1515,N
237,c-9,c-21,c-4,1302,HA,HNL,SFO,2398,N
238,c-1,c-25,c-2,1803,XE,JAN,IAH,351,N
239,c-9,c-23,c-6,1533,OH,CVG,AVL,275,Y
240,c-5,c-10,c-3,1031,MQ,SAN,SJC,417,N
241,c-1,c-7,c-5,1333,NW,EWR,MSP,1008,N
242,c-10,c-15,c-7,1446,OO,ORD,MKE,67,N
243,c-2,c-10,c-5,606,US,FLL,PHL,992,N
244,c-7,c-19,c-3,701,UA,GSO,ORD,590,N
245,c-8,c-31,c-3,1905,WN,DAL,LIT,296,Y
246,c-1,c-27,c-4,855,US,PIT,PBI,952,N
247,c-12,c-24,c-6,706,F9,DEN,DFW,641,N
248,c-11,c-18,c-6,1426,NW,MSO,MSP,1013,Y
249,c-2,c-15,c-3,1145,NW,BNA,MEM,200,N
250,c-5,c-20,c-6,1035,UA,LAX,MCO,2217,N
251,c-5,c-12,c-5,1030,EV,ATL,MLU,448,N
252,c-11,c-24,c-4,1427,NW,IND,DTW,231,N
253,c-8,c-15,c-2,1615,WN,PHL,BDL,196,N
254,c-11,c-2,c-3,1008,MQ,DFW,JAN,408,N
255,c-11,c-13,c-1,746,FL,JAX,ATL,270,Y
256,c-11,c-9,c-3,1807,AA,DFW,ELP,551,N
257,c-12,c-14,c-3,659,AA,LAX,FLL,2342,N
258,c-1,c-17,c-2,1246,US,SNA,PHX,338,N
259,c-1,c-25,c-2,626,MQ,OKC,ORD,693,N
260,c-2,c-8,c-3,547,OO,CEC,ACV,56,N
261,c-2,c-27,c-7,745,FL,DEN,ATL,1199,N
262,c-10,c-2,c-1,1640,DL,DEN,ATL,1199,N
263,c-3,c-16,c-4,1135,NW,MCO,MSP,1310,Y
264,c-8,c-7,c-1,1431,CO,MYR,EWR,550,N
265,c-1,c-24,c-2,604,DL,DCA,ATL,547,N
266,c-2,c-17,c-4,538,DL,MDW,ATL,590,N
267,c-12,c-30,c-6,1704,US,JAX,CLT,329,N
268,c-3,c-22,c-2,1112,MQ,ORD,RIC,642,N
269,c-9,c-29,c-4,1220,EV,ATL,CAK,528,N
270,c-3,c-18,c-5,1803,US,PIT,SAN,2106,N
271,c-4,c-9,c-7,706,UA,OAK,IAD,2408,N
272,c-7,c-29,c-6,1820,YV,PHX,OMA,1037,N
273,c-5,c-8,c-1,1002,YV,DEN,COS,72,N
274,c-5,c-19,c-5,1855,AS,SEA,PHX,1107,N
275,c-3,c-19,c-6,2017,OO,DEN,FAT,844,N
276,c-5,c-7,c-7,1356,UA,BOI,DEN,649,Y
277,c-5,c-11,c-3,1344,F9,DEN,MCI,533,Y
278,c-4,c-28,c-4,1825,XE,ALB,CLE,424,N
279,c-4,c-27,c-4,1512,XE,LIT,IAH,374,N
280,c-5,c-16,c-2,849,XE,CLE,DAY,162,N
281,c-9,c-13,c-3,1959,CO,MIA,EWR,1086,N
282,c-11,c-25,c-5,1257,XE,IAH,LEX,828,N
283,c-6,c-5,c-7,1329,DL,LGA,DCA,214,N
284,c-7,c-27,c-4,1156,AQ,LIH,HNL,102,N
285,c-4,c-22,c-6,556,DL,MCO,ATL,403,N
286,c-4,c-30,c-7,1726,F9,DEN,LAX,862,Y
287,c-12,c-12,c-1,1059,AA,DFW,JFK,1391,N
288,c-3,c-20,c-1,630,YV,SBP,PHX,509,N
289,c-6,c-14,c-2,1846,EV,AEX,ATL,500,N
290,c-2,c-23,c-4,1507,DL,ATL,LAX,1946,Y
291,c-7,c-28,c-4,1650,UA,SFO,LAX,337,N
292,c-12,c-27,c-2,1909,EV,GNV,ATL,300,N
293,c-10,c-31,c-1,1420,WN,ONT,OAK,361,N
294,c-1,c-25,c-2,1540,XE,DSM,IAH,802,N
295,c-7,c-7,c-4,2108,OH,RDU,MCO,534,Y
296,c-11,c-6,c-7,2059,AA,DFW,SAT,247,N
297,c-10,c-19,c-4,611,OO,TUS,SFO,751,N
298,c-12,c-23,c-6,719,NW,IAH,DTW,1076,N
299,c-5,c-5,c-5,713,DL,CMH,ATL,446,N
300,c-4,c-11,c-2,710,WN,MCO,MCI,1072,N
301,c-4,c-9,c-7,2255,DL,SJC,ATL,2116,N
302,c-1,c-3,c-1,2338,HP,LAS,ATL,1747,Y
303,c-8,c-2,c-2,909,NW,DTW,GRB,288,N
304,c-8,c-29,c-1,1935,WN,CLE,MDW,307,N
305,c-6,c-26,c-7,1335,NW,MEM,MSP,700,N
306,c-7,c-16,c-6,1633,AA,ICT,DFW,328,N
307,c-9,c-8,c-5,1705,WN,LAS,SJC,386,Y
308,c-2,c-11,c-5,2128,DL,SAV,ATL,215,N
309,c-6,c-20,c-2,903,NW,MSP,DTW,528,N
310,c-1,c-31,c-2,848,EV,OKC,SLC,866,N
311,c-8,c-30,c-3,1829,WN,HOU,CRP,187,N
312,c-11,c-18,c-6,1035,EV,ATL,MKE,669,Y
313,c-7,c-30,c-6,1228,DL,DCA,LGA,214,N
314,c-7,c-25,c-1,1843,AA,DFW,SAT,247,Y
315,c-6,c-5,c-1,1908,XE,EWR,RIC,278,N
316,c-2,c-27,c-1,1846,YV,IAD,BOS,413,N
317,c-5,c-10,c-2,1939,B6,IAD,SAN,2253,N
318,c-4,c-15,c-6,1131,EV,ATL,FNT,644,N
319,c-9,c-21,c-4,1948,MQ,SJC,SAN,417,N
320,c-3,c-8,c-3,1755,WN,TUL,DAL,237,N
321,c-7,c-14,c-5,1047,AA,ORD,BOS,867,N
322,c-12,c-3,c-6,1230,DH,LGA,IAD,229,N
323,c-4,c-19,c-2,851,AA,STL,SFO,1736,N
324,c-5,c-29,c-1,1044,MQ,DFW,ICT,328,N
325,c-12,c-23,c-5,1608,CO,TPA,EWR,998,N
326,c-11,c-7,c-1,1546,CO,IAH,DEN,861,N
327,c-3,c-20,c-7,1238,DL,CVG,MCI,539,N
328,c-7,c-18,c-1,843,UA,LAX,OGG,2486,N
329,c-7,c-18,c-1,715,WN,BWI,RDU,255,N
330,c-12,c-27,c-3,639,AA,LGA,DFW,1389,N
331,c-8,c-27,c-7,1006,AA,RDU,ORD,647,N
332,c-7,c-27,c-4,645,CO,MSP,IAH,1034,N
333,c-2,c-21,c-2,1352,DL,SAT,ATL,874,Y
334,c-6,c-5,c-7,1158,US,MCO,PIT,834,N
335,c-8,c-11,c-5,1433,UA,IAD,DEN,1452,N
336,c-11,c-14,c-2,1409,NW,MSP,MCO,1310,Y
337,c-12,c-6,c-3,914,WN,BWI,BUF,281,N
338,c-3,c-21,c-2,1459,XE,EWR,ORF,284,N
339,c-3,c-30,c-3,924,UA,ORD,BOS,867,N
340,c-2,c-9,c-4,1536,AA,SJU,FLL,1046,N
341,c-1,c-12,c-4,1622,DL,RSW,BOS,1249,N
342,c-3,c-22,c-3,1244,AA,LAX,EWR,2454,N
343,c-2,c-4,c-6,811,AA,LAX,DFW,1235,N
344,c-8,c-16,c-2,1525,OH,BGR,CVG,906,Y
345,c-4,c-5,c-3,1524,UA,SEA,SFO,679,N
346,c-3,c-8,c-2,1330,WN,MCI,MDW,405,N
347,c-6,c-16,c-4,1658,NW,DTW,PIT,201,N
348,c-9,c-25,c-7,1630,WN,TUL,HOU,453,N
349,c-10,c-25,c-2,1429,DL,ATL,TLH,223,N
350,c-12,c-15,c-5,1438,CO,JFK,IAH,1417,Y
351,c-2,c-7,c-1,1058,US,CLT,DCA,331,N
352,c-11,c-11,c-5,1754,CO,DTW,IAH,1076,N
353,c-10,c-17,c-1,1341,CO,EWR,ORD,719,N
354,c-10,c-21,c-5,1617,AA,LGA,MIA,1097,N
355,c-8,c-18,c-4,558,NW,DFW,DTW,987,N
356,c-2,c-8,c-3,1234,AA,XNA,DFW,281,N
357,c-8,c-17,c-4,951,WN,PHX,SAN,304,N
358,c-3,c-11,c-5,1052,DL,MDW,ATL,590,N
359,c-12,c-26,c-1,1055,DL,EWR,CVG,569,N
360,c-5,c-15,c-7,830,WN,HOU,SAT,192,N
361,c-8,c-9,c-2,1500,US,DCA,PVD,357,N
362,c-9,c-25,c-7,1855,MQ,LAX,SAN,109,N
363,c-4,c-25,c-1,1043,OO,PDX,SEA,129,N
364,c-7,c-6,c-4,1012,YV,DRO,DEN,251,Y
365,c-3,c-14,c-2,844,XE,CLE,CMH,112,N
366,c-2,c-12,c-6,1055,XE,IAH,DFW,224,N
367,c-6,c-30,c-5,1543,NW,MSP,BNA,695,Y
368,c-11,c-22,c-3,2117,CO,LGA,IAH,1416,Y
369,c-7,c-11,c-1,853,DL,MKE,ATL,669,Y
370,c-5,c-29,c-7,735,OO,CPR,SLC,320,N
371,c-10,c-2,c-1,751,WN,SAN,SMF,480,N
372,c-4,c-26,c-2,1530,WN,BWI,ISP,220,N
373,c-9,c-20,c-2,1634,XE,EWR,XNA,1130,Y
374,c-12,c-12,c-1,1705,XE,SDF,EWR,642,N
375,c-11,c-16,c-3,1241,B6,LGB,JFK,2465,N
376,c-7,c-5,c-2,1434,AA,BOS,SFO,2704,N
377,c-10,c-14,c-6,1620,CO,IAH,JFK,1417,N
378,c-12,c-11,c-1,1520,OO,ORD,MEM,491,Y
379,c-6,c-1,c-4,1620,EV,XNA,ATL,589,Y
380,c-8,c-1,c-2,2003,WN,LAS,AUS,1090,N
381,c-2,c-2,c-4,1610,EV,AVL,ATL,164,N
382,c-7,c-14,c-5,1125,MQ,SAN,LAX,109,N
383,c-7,c-21,c-4,1454,OO,LAX,OAK,337,N
384,c-12,c-20,c-3,1427,OH,LGA,RDU,431,Y
385,c-6,c-19,c-1,1445,UA,IAD,LAX,2288,N
386,c-4,c-8,c-5,2014,UA,SFO,LAS,414,N
387,c-5,c-28,c-6,1930,WN,MCO,MDW,989,N
388,c-4,c-20,c-3,1520,CO,DFW,IAH,224,N
389,c-10,c-22,c-7,1805,WN,LAX,ELP,714,N
390,c-2,c-19,c-6,1449,DL,ATL,DAY,432,N
391,c-2,c-6,c-7,1711,UA,PDX,SFO,550,N
392,c-12,c-17,c-7,1335,UA,LAS,IAD,2066,Y
393,c-3,c-27,c-1,1153,US,LGA,BOS,185,N
394,c-7,c-7,c-4,727,DL,MCO,BOS,1121,N
395,c-7,c-9,c-7,550,FL,PHF,ATL,508,N
396,c-7,c-8,c-6,715,AS,PDX,SAN,933,N
397,c-9,c-19,c-2,2228,UA,LAX,BOS,2611,N
398,c-8,c-17,c-4,1240,WN,LAS,RNO,345,N
399,c-8,c-10,c-4,918,EV,GPT,ATL,352,Y
400,c-3,c-28,c-1,1100,WN,PHX,LAS,256,Y
401,c-4,c-19,c-2,1953,NW,MEM,VPS,369,N
402,c-3,c-8,c-2,1905,MQ,ORD,CMI,135,N
403,c-5,c-14,c-7,1233,MQ,BGR,BOS,201,Y
404,c-4,c-23,c-6,1307,XE,MCI,IAH,643,N
405,c-11,c-5,c-7,1653,AQ,OGG,HNL,100,N
406,c-12,c-17,c-6,1633,AS,LAS,SEA,866,Y
407,c-4,c-5,c-2,2256,AA,DFW,OKC,175,Y
408,c-1,c-3,c-2,626,YV,CLT,IAD,321,N
409,c-4,c-25,c-1,2033,XE,CLE,GRR,214,N
410,c-8,c-3,c-3,1329,US,PHL,IND,587,N
411,c-1,c-7,c-5,1333,CO,IAH,MIA,964,N
412,c-7,c-23,c-6,1438,OO,PSP,LAX,110,N
413,c-1,c-30,c-7,1121,UA,DEN,IAD,1452,N
414,c-3,c-10,c-4,606,DL,DEN,SLC,391,N
415,c-9,c-21,c-4,1221,XE,EWR,IND,644,N
416,c-9,c-21,c-3,2041,UA,ORD,DCA,612,N
417,c-2,c-7,c-2,1422,EV,ATL,EYW,646,N
418,c-4,c-13,c-3,1000,NW,MEM,IAH,469,Y
419,c-6,c-21,c-3,559,WN,OAK,LAX,337,N
420,c-9,c-21,c-4,1356,WN,SAN,PHX,304,Y
421,c-4,c-20,c-4,1845,MQ,DTW,ORD,235,N
422,c-12,c-20,c-2,1525,WN,PVD,TPA,1137,N
423,c-1,c-19,c-4,702,WN,MHT,BWI,377,N
424,c-1,c-5,c-4,1122,UA,PHX,LAX,370,N
425,c-5,c-30,c-2,1534,EV,ATL,TUL,674,N
426,c-8,c-20,c-7,2147,OO,MRY,SFO,77,Y
427,c-8,c-11,c-4,1801,AA,IAH,ORD,925,Y
428,c-8,c-24,c-4,1515,MQ,EWR,BOS,200,N
429,c-10,c-21,c-6,2148,US,CLT,BDL,644,N
430,c-8,c-19,c-5,825,WN,DAL,MAF,319,N
